,djerma,haoussa,wolof,french,arab,english,bissa,bobo,bwamu,dafing,dagara,dioula,dogon,fulfulde,gouin,goulmancema,kassena,ko,Kusaal,lyele,lobiri,minianka,moore,nuni,san,sembla,sissaka,tamacheque
djerma,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
haoussa,102.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
wolof,102.15,100.98,0,,,,,,,,,,,,,,,,,,,,,,,,,
french,98.51,96.87,95.35,0,,,,,,,,,,,,,,,,,,,,,,,,
arab,95.58,96.95,98.34,98.42,0,,,,,,,,,,,,,,,,,,,,,,,
english,99.71,97.33,99.25,91.35,94.96,0,,,,,,,,,,,,,,,,,,,,,,
bissa,99.79,104.95,93.44,101.33,100.48,100.65,0,,,,,,,,,,,,,,,,,,,,,
bobo,97.09,99.69,99.34,96.59,98.24,99.32,89.08,0,,,,,,,,,,,,,,,,,,,,
bwamu,98.93,97,102.51,101.22,99.17,99.89,99.72,96.13,0,,,,,,,,,,,,,,,,,,,
dafing,98.25,100.88,102.12,99.37,99.35,100.53,91.5,88.88,94.67,0,,,,,,,,,,,,,,,,,,
dagara,99.27,95.55,98.15,97.01,99.51,95.78,103.17,85.04,95.06,97.42,0,,,,,,,,,,,,,,,,,
dioula,99.6,99.62,100.47,93.66,101.29,98.45,89.64,83.69,101.46,55.47,96,0,,,,,,,,,,,,,,,,
dogon,95.28,100.57,98.23,102.29,101.15,102.63,95.43,89.98,100.07,92.44,94.52,92.46,0,,,,,,,,,,,,,,,
fulfulde,101.7,97.19,96.69,97.8,98.94,98.43,95.02,97.63,99.29,99.3,97.15,100.59,92.54,0,,,,,,,,,,,,,,
gouin,97.46,96.05,101.17,98.57,100.87,99.79,97.33,93.78,94.61,102.72,90.32,100.01,95.79,92.88,0,,,,,,,,,,,,,
goulmancema,96.29,99.06,96.5,95.81,98.25,96.81,98.38,93.49,98.08,97.12,80.07,97.06,94.08,98.49,96.07,0,,,,,,,,,,,,
kassena,98.88,102.96,100.08,99.71,96.02,97.69,98.22,98.41,93.16,97.05,93.06,98.03,99.73,100.15,90.57,94.75,0,,,,,,,,,,,
ko,102.6,102.69,99.55,100.32,99.77,98.58,102.14,101.99,101.77,98.61,101.4,99.42,101.68,95.8,100.88,103.36,94.76,0,,,,,,,,,,
Kusaal,99.12,99.97,94.57,95.17,100.68,98.77,101.48,91.04,97.06,96.95,61.55,98.1,96.88,93.89,88.35,82.01,92.95,101.1,0,,,,,,,,,
lyele,97.42,102.39,103.71,102.52,95.92,102.4,100.27,97.63,99,100.68,96.36,102.32,95.26,100.42,95.31,96.72,73.82,98.56,98.69,0,,,,,,,,
lobiri,100.67,97.97,96.26,98.52,99.71,101.14,97.37,99.98,90.73,99.89,88.14,97.81,100.59,95.81,89.18,93.73,94.43,92.99,95.39,96.8,0,,,,,,,
minianka,97.42,96.23,99.8,96.59,97.41,98.59,101.45,96.43,97.76,97.02,89.72,100.99,94.74,100.68,91.6,96.1,89.36,100.54,92.27,97.28,96.88,0,,,,,,
moore,99.95,95.18,99.69,96.29,99.32,98.68,100.48,93.62,95.87,99.28,59.56,97.35,95.87,93.08,86.31,89.02,96.4,99.44,58.66,96.64,90.13,92.64,0,,,,,
nuni,100.4,102.47,101.95,100.86,99.63,99.74,97.66,101.48,94.77,99.59,94.44,101.24,101.14,101.62,93.97,97.2,68.22,101.08,96.4,77.18,94.06,98.47,92.29,0,,,,
san,93.03,99.5,100.57,97.05,96,100.47,81.09,93.81,102.43,86.05,96.49,93.29,97.93,94.55,100.1,98.9,98.54,99.84,99.03,101.36,101.9,96.05,91.74,96.46,0,,,
sembla,98.33,99.27,99.72,99.66,99.96,94.57,89.02,87.61,100.83,83.68,92.56,84.17,96.03,97.67,99.56,95.78,100.23,96.55,97.58,102.82,98.28,96.64,94.26,98.18,84.52,0,,
sissaka,97.55,100.49,101.71,99.58,99.67,100.01,98.35,98.16,92.79,95.7,88.22,97.26,98.49,101.08,95.31,93.56,78.78,95.47,92.3,89.19,96.54,95.74,92.04,85.97,99.7,101.05,0,
tamacheque,97.4,95.9,98.74,99.58,95.06,101.02,98.1,101.5,103.33,100.88,98.79,99.99,100.67,98.1,102.45,95.29,101.4,96.92,96.14,101.02,100.46,98.15,97.69,98.23,100.6,98.81,100.63,0
