,Susu,Pular,Maninka,Jahnka,Baga,Nalu,Mixifore,Landoma,Badyara,Bassari,Wamey,Yalunka,Soninke,Kuranko,Kissi,Lele,Toma,Konyanka Maninka,Kpelle,Mano,Kono
Susu,0,,,,,,,,,,,,,,,,,,,,
Pular,98.46,0,,,,,,,,,,,,,,,,,,,
Maninka,82.61,98.61,0,,,,,,,,,,,,,,,,,,
Jahnka,89.61,101.02,52.88,0,,,,,,,,,,,,,,,,,
Baga,97.89,97.4,100.74,99.24,0,,,,,,,,,,,,,,,,
Nalu,95.91,98.19,98.85,97.25,101.5,0,,,,,,,,,,,,,,,
Mixifore,75.34,98.04,63.7,59.23,96.52,98.09,0,,,,,,,,,,,,,,
Landoma,97.75,99.49,98.14,99.28,60.29,98.91,94.84,0,,,,,,,,,,,,,
Badyara,98.45,100.74,98.27,95.95,95.58,97.46,96.51,96.16,0,,,,,,,,,,,,
Bassari,100.31,99,101.04,102.97,101.74,91.68,102.44,102.31,97.53,0,,,,,,,,,,,
Wamey,101.3,101.19,100.58,101.52,96.42,93.79,99.97,100.47,93.46,85.47,0,,,,,,,,,,
Yalunka,26.07,97.16,82.1,88.87,101.59,95.38,76.64,99.39,100.54,99.71,100.24,0,,,,,,,,,
Soninke,90.08,100,92.23,88.74,101.41,97.41,81.8,98.15,96.26,100.73,100.56,87.6,0,,,,,,,,
Kuranko,72.18,100.98,58.15,63.6,96.6,99.42,36.6,96.45,98.14,100.52,97.96,76.6,83.18,0,,,,,,,
Kissi,101.66,96.99,97.82,98.88,98.65,102.67,99.25,97.83,100.67,104.98,103.9,99.5,103.3,97.59,0,,,,,,
Lele,72.25,99.28,68.55,72.99,93.55,99.89,44.27,94.89,98.55,103.01,102.06,75.72,83.42,32.33,99.52,0,,,,,
Toma,87.48,102.75,89.8,92.5,102,94.18,86.36,98.96,99.37,102.89,100.75,85.27,94.36,87.36,96.7,87.56,0,,,,
Konyanka Maninka,76.28,99.9,62.56,68.49,103.3,95.05,51.64,97.51,100.81,102.74,101.71,76.81,78.9,51.72,101.14,51.01,84.97,0,,,
Kpelle,89.49,102.08,92.71,91.41,103.03,98.44,87.96,100.24,100.12,101.86,99.24,88.59,97.05,93.96,97.59,92.69,63.03,89.96,0,,
Mano,88.92,96.11,88.27,90.2,97.62,99.5,88.19,100.91,92.99,93.55,101.14,89.82,86.55,87.14,103.97,83.09,99.36,85.75,93.3,0,
Kono,77.19,97.27,69.07,72.51,94.76,98.89,54.19,94.01,97.68,102.55,102.09,78.76,85.46,47.35,102.4,41.25,88.51,59.47,96.52,79.68,0
