,Balke,Changana,Chwabo,Elomwe,Koti,Lolo,Makhuwa,Makonde,Manyika,Mwani,Ndau,Nyanja,Nyungwe,Portuguese,Ronga,Sena,Shona,Swahili,Tewe,Tonga,Tswa,Yao
Balke,0,,,,,,,,,,,,,,,,,,,,,
Changana,74.46,0,,,,,,,,,,,,,,,,,,,,
Chwabo,71.85,87.18,0,,,,,,,,,,,,,,,,,,,
Elomwe,80.41,90.01,71.83,0,,,,,,,,,,,,,,,,,,
Koti,72.37,79.03,82.61,67.55,0,,,,,,,,,,,,,,,,,
Lolo,76.74,80.52,65.25,82.6,81.71,0,,,,,,,,,,,,,,,,
Makhuwa,84.08,92.19,72.75,36.61,74.18,82.23,0,,,,,,,,,,,,,,,
Makonde,77.46,84.41,77.68,81.02,76.51,81.57,80.89,0,,,,,,,,,,,,,,
Manyika,65.91,72.19,76.78,82.51,73.65,75.64,85.12,81.51,0,,,,,,,,,,,,,
Mwani,61.93,78.94,70.58,72.69,56.96,70.71,77.69,72.57,65.22,0,,,,,,,,,,,,
Ndau,63.19,70.34,79.09,84.14,74.58,78.92,86.56,80.56,24.45,61.12,0,,,,,,,,,,,
Nyanja,44.46,75.07,68.36,78.24,74.02,74.54,79.03,69.39,70.84,69.63,69.22,0,,,,,,,,,,
Nyungwe,44.2,79.73,61.54,78.56,77.95,72.08,81.47,77.46,58.44,65.12,62.04,60.39,0,,,,,,,,,
Portuguese,103.07,102.23,99.7,101.91,101.4,102.8,102.26,102,101.35,104.73,101.92,103.65,104.51,0,,,,,,,,
Ronga,75.39,15.63,87.22,92.42,80.48,79.52,95.87,83.97,76.53,78.2,72.55,79.49,80.86,101.87,0,,,,,,,
Sena,2.67,74.46,71.85,80.41,72.37,76.74,84.08,77.46,65.91,61.93,63.19,44.46,44.2,103.07,75.39,0,,,,,,
Shona,67.45,74.05,84.6,84.11,76.41,83.44,87.69,82.61,40.6,72.04,49.06,70.37,64.16,103.37,75.82,67.45,0,,,,,
Swahili,69.66,78.58,79.37,81.5,68.19,83.93,81.14,73.4,77.12,56.19,72.06,71.64,70.24,103.56,79.1,69.66,72.89,0,,,,
Tewe,65.91,72.19,76.78,82.51,73.65,75.64,85.12,81.51,4.63,65.22,24.45,70.84,58.44,101.35,76.53,65.91,40.6,77.12,0,,,
Tonga,73.98,72.81,85.38,91.38,86.28,77.08,91.95,87.15,82.81,78.26,81.43,81.77,70.23,104.75,73,73.98,82.91,80.35,82.81,0,,
Tswa,74.45,21.78,86.45,90.25,79.36,81.51,92.74,85.15,71.96,79.06,69.37,79.09,80.73,103.46,21.41,74.45,76.09,78.73,71.96,73.09,0,
Yao,79.09,86.39,75.16,84.34,79.83,75.84,82.21,66.18,81.02,71.87,81.16,73.98,70.93,98.31,87.72,79.09,85.26,79.92,81.02,82.57,86.85,0
