,Krio,Mende,Themne,Maninkakan,Limba,Kissi,Kono,Susu,Pular,Bom,Yalunka,Kuranko,Vai,English,French,Arabic
Krio,0,,,,,,,,,,,,,,,
Mende,99.96,0,,,,,,,,,,,,,,
Themne,97.59,103.23,0,,,,,,,,,,,,,
Maninkakan,96.78,93.11,99.9,0,,,,,,,,,,,,
Limba,96.6,103.2,97.86,100.41,0,,,,,,,,,,,
Kissi,95.83,96.85,95.86,95.76,93.14,0,,,,,,,,,,
Kono,101.9,98.68,94,99.62,83.85,98.89,0,,,,,,,,,
Susu,99.48,94.76,100.34,69.07,99.9,94.54,100.63,0,,,,,,,,
Pular,101.43,89.97,99.86,82.61,96.5,99.85,99.18,77.19,0,,,,,,,
Bom,99.8,102.43,101.98,98.61,97.7,101.25,96.05,97.27,98.46,0,,,,,,
Yalunka,99.49,90.22,101.66,82.1,95.77,101.01,98.93,78.76,26.07,97.16,0,,,,,
Kuranko,97.52,89.43,95.69,58.15,100.48,94.64,101.01,47.35,72.18,100.98,76.6,0,,,,
Vai,99.01,91.61,98.93,74.94,101.3,94.72,99.86,29.6,81.91,98.52,80.76,58.03,0,,,
English,48.3,101.55,96.37,98.22,97.53,98.83,101.06,101.77,101.05,99.92,97.46,101.86,103.03,0,,
French,95.93,97.79,102.58,95.74,100.03,97.99,99.49,97.69,99.84,100.11,99.08,95.45,97.02,91.35,0,
Arabic,95.86,96.64,98.38,96.03,99.81,99.2,101.94,98.95,99.16,98.68,98.2,97.45,98.34,94.96,98.42,0
