,djerma,haoussa,wolof,french,arab,english,bissa,bobo,bwamu,dafing,dagara,dioula,dogon,fulfulde,gouin,goulmancema,kassena,ko,Kusaal,lyele,lobiri,minianka,moore,nuni,san,sembla,sissaka,tamacheque
boucle_de_mouhoun,0.0001,0.0001,0,0.0038,0,0,0.0003,0.0234,0.1437,0.0915,0.0008,0.0605,0.0155,0.0646,0,0.0002,0,0.0055,0,0.0101,0.0002,0.0004,0.2796,0.0228,0.143,0,0,0.0001
cascades,0.0019,0.0001,0,0.0041,0,0,0.0008,0.0047,0.0016,0.005,0.0033,0.1781,0.0055,0.0571,0.1028,0.0003,0,0.0002,0,0.0038,0.0136,0.1489,0.1705,0.0015,0.0156,0.0008,0,0
centre_including_ouagadougou,0.0004,0.0011,0.0002,0.0749,0.0004,0.0011,0.0112,0.001,0.002,0.0013,0.0037,0.0384,0.0003,0.0123,0.0002,0.0032,0.001,0.0007,0.0002,0.0106,0.0005,0.0007,0.7864,0.0007,0.0052,0.0001,0.0001,0.0007
centre_est,0.0004,0.0007,0,0.0043,0,0.0001,0.3187,0.0001,0.0001,0.0001,0.0002,0.0015,0.0001,0.0742,0,0.0054,0.0001,0,0.0116,0.0007,0.0001,0,0.4465,0,0.0001,0,0,0.0001
centre_nord,0.0013,0.0002,0,0.0023,0,0,0.0005,0.0001,0.0001,0,0.0003,0.0006,0.0001,0.0924,0,0.0131,0,0.0001,0,0.0006,0,0.0002,0.8576,0.0001,0.0001,0.0001,0,0.0007
centre_ouest,0.0001,0,0,0.0052,0,0,0.0004,0.0002,0.0015,0.0002,0.011,0.0024,0,0.0446,0,0.0005,0.0002,0.0001,0.0001,0.1918,0.0003,0.0002,0.5963,0.103,0.0009,0,0.0002,0.0002
centre_sud,0.0012,0.0002,0,0.0036,0,0,0.0631,0.0004,0,0.0001,0.0004,0.0014,0.0001,0.0454,0.0001,0.0001,0.141,0.0003,0.0001,0.0017,0,0.0002,0.6606,0.0002,0.0005,0.0001,0,0.0001
est,0.0041,0.0048,0,0.0037,0,0.0001,0.0008,0.0001,0.0001,0,0.0003,0.0022,0.0009,0.1302,0.0005,0.6471,0,0.0001,0,0.0006,0,0,0.1562,0,0.0002,0.0004,0,0.0022
hauts_basins,0.0003,0.0002,0.0001,0.012,0.0001,0.0002,0.0024,0.1071,0.0538,0.007,0.0128,0.2699,0.001,0.0384,0.0002,0.0003,0,0.0003,0,0.0038,0.0011,0.0738,0.2932,0.0011,0.0215,0.01,0,0.0001
nord,0.0005,0.0001,0,0.003,0,0,0.0001,0,0.0001,0.0001,0.0003,0.0014,0.0048,0.0581,0.0001,0.0001,0,0.0002,0,0.0027,0,0.0003,0.8936,0.0001,0.0004,0.0004,0,0.0015
plateau_central,0.0001,0.0001,0,0.002,0,0,0.0113,0.0001,0.0001,0,0.0001,0.0006,0,0.0468,0,0.0002,0.0001,0,0,0.0003,0,0.0003,0.9129,0,0,0,0,0
sahel,0.0501,0.0023,0,0.0022,0.0005,0,0.0008,0.0001,0.0002,0,0.0004,0.0012,0.0058,0.5542,0.0003,0.0408,0,0.0002,0,0.0004,0.0002,0.0001,0.1247,0.0001,0.0002,0,0,0.1334
sud_ouest,0.0002,0.0002,0,0.0059,0.0001,0.0002,0.0002,0.0012,0.0006,0.0008,0.357,0.0292,0.0001,0.0232,0,0.0001,0,0.0002,0,0.0008,0.3667,0.0001,0.0778,0.0005,0.0009,0,0,0
