,Balke,Changana,Chwabo,Elomwe,Koti,Lolo,Makhuwa,Makonde,Manyika,Mwani,Ndau,Nyanja,Nyungwe,Portuguese,Ronga,Sena,Shona,Swahili,Tewe,Tonga,Tswa,Yao
Cabo_Delgado,0,0,0,0,0,0,0.66,0.031,0,0.047,0,0,0,0.067,0,0,0,0.016,0,0,0,0.003
Gaza,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0.007,0.845,0,0,0,0,0.008,0.044,0
Inhambane,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0.023,0.022,0,0,0,0,0.568,0.143,0
Manica,0.077,0,0,0,0,0,0,0,0.091,0,0.241,0,0.038,0.16,0,0.117,0,0,0.128,0,0,0
Maputo_City,0,0.563,0,0,0,0,0,0,0,0,0,0,0,0.051,0.281,0,0,0,0,0.049,0.018,0
Maputo,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0.436,0.024,0,0,0,0,0.034,0.048,0
Nampula,0,0,0.002,0.003,0.013,0,0.864,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0
Niassa,0,0.002,0,0.024,0,0,0.425,0,0,0,0,0.113,0,0.091,0,0,0,0,0,0,0,0.308
Sofala,0,0,0.034,0,0,0,0.007,0,0,0,0.251,0,0,0.203,0,0.444,0,0,0,0,0.009,0
Tete,0,0,0,0,0,0,0,0,0,0,0,0.496,0.202,0.091,0,0.105,0.024,0,0,0,0,0
Zambezia,0,0,0.229,0.378,0,0.037,0.023,0,0,0,0,0,0,0.133,0,0.08,0,0,0,0,0,0
